" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"19","15"," Omar Wa Salma 2","Gulf","$3,485","-42.9%","4","-","$871","$926,455","6"
"20","17","Harry Potter and the Half Blood Prince","WB","$1,879","-27.2%","1","-","$1,879","$1,495,756","15"
"21","16","District 9","Gulf","$1,446","-49.8%","1","-1","$1,446","$428,097","6"
"22","18","The Soloist","UIP","$743","-4.3%","1","-","$743","$43,552","4"
"23","13","Dance Flick","UIP","$741","-92.6%","2","-10","$371","$193,419","4"
"24","20","G.I. Joe","UIP","$678","+76.6%","1","-","$678","$1,353,197","12"
"25","19","UIP","$384","-2.3%","1","-","$384","$2,285,138","18",""
"26","21"," Mikano","Gulf","$131","+17.0%","1","-","$131","$22,613","3"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Gamer (2009)","Gulf","$177,343","-","1","-","$177,343","$177,343","1"
"2","N"," Banlieue 13 - Ultimatum","Italian","$156,268","-","22","-","$7,103","$200,783","1"
"3","1","Surrogates","Disney","$73,963","-74.5%","20","-2","$3,698","$448,131","2"
"4","N","Shorts","WB","$61,719","-","15","-","$4,115","$67,752","1"
"5","2","The Final Destination","WB","$50,810","-63.6%","7","-14","$7,259","$725,097","3"
"6","4","The Time Traveler's Wife","Gulf","$44,685","-57.4%","20","-1","$2,234","$185,889","2"
"7","3","Sorority Row","Gulf","$35,688","-71.8%","20","-","$1,784","$198,434","2"
"8","N","Julie & Julia","Sony","$29,689","-","4","-","$7,422","$29,689","1"
"9","6"," Cloudy with a Chance of Meatballs","Sony","$23,696","-42.0%","6","-2","$3,949","$517,939","5"
"10","5","Inglourious Basterds","UIP","$18,056","-62.6%","5","-6","$3,611","$555,964","4"
"11","N","Battle in Seattle","Gulf","$13,713","-","8","-","$1,714","$13,713","1"
"12","7","The Ugly Truth","Sony","$13,110","-67.9%","4","-4","$3,278","$469,691","4"
"13","8","Dance Flick","UIP","$10,012","-74.5%","12","-6","$834","$189,498","3"
"14","9","Aliens in the Attic","Fox","$9,247","-71.6%","3","-10","$3,082","$123,204","3"
"15","10"," Omar Wa Salma 2","Gulf","$6,101","-78.2%","4","-9","$1,525","$919,764","5"
"16","13","District 9","Gulf","$2,880","-66.0%","2","-2","$1,440","$425,132","5"
"17","15","Harry Potter and the Half Blood Prince","WB","$2,581","-6.5%","1","-","$2,581","$1,493,455","14"
"18","14","The Soloist","UIP","$776","-90.6%","1","-9","$776","$42,000","3"
"19","22","UIP","$393","-41.1%","1","-","$393","$2,284,528","17",""
"20","16","G.I. Joe","UIP","$384","-82.7%","1","-1","$384","$1,352,307","11"
"21","11"," Mikano","Gulf","$112","-99.3%","1","-14","$112","$22,311","2"
"22","21"," Chi bi (Red Cliff: Part I)","Gulf","$57","-91.7%","1","-","$57","$274,759","8"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Surrogates","Disney","$289,565","-","22","-","$13,162","$351,605","1"
"2","1","The Final Destination","WB","$139,599","-63.4%","21","-","$6,648","$652,817","2"
"3","N","Sorority Row","Gulf","$126,672","-","20","-","$6,334","$162,746","1"
"4","N","The Time Traveler's Wife","Gulf","$104,915","-","21","-","$4,996","$141,204","1"
"5","3","Inglourious Basterds","UIP","$48,306","-54.1%","11","-9","$4,391","$537,908","3"
"6","8"," Cloudy with a Chance of Meatballs","Sony","$40,864","-10.2%","8","-1","$5,108","$489,621","4"
"7","5","The Ugly Truth","Sony","$40,830","-54.8%","8","-4","$5,104","$442,780","3"
"8","2","Dance Flick","UIP","$39,307","-63.7%","18","-2","$2,184","$179,485","2"
"9","7","Aliens in the Attic","Fox","$32,541","-53.2%","13","-6","$2,503","$112,529","2"
"10","6"," Omar Wa Salma 2","Gulf","$27,955","-67.3%","13","-6","$2,150","$913,663","4"
"11","N"," Mikano","Gulf","$16,606","-","15","-","$1,107","$22,199","1"
"12","4","Halloween II (2009)","Italian","$16,465","-83.0%","12","-9","$1,372","$147,410","2"
"13","9","District 9","Gulf","$8,459","-66.1%","4","-10","$2,115","$422,251","4"
"14","10","The Soloist","UIP","$8,287","-63.7%","10","-","$829","$41,224","2"
"15","15","Harry Potter and the Half Blood Prince","WB","$2,761","-5.2%","1","-","$2,761","$1,490,316","13"
"16","14","G.I. Joe","UIP","$2,215","-33.1%","2","-","$1,108","$1,351,923","10"
"17","13","Ice Age: Dawn of the Dinosaurs","Fox","$2,036","-42.9%","1","-","$2,036","$1,474,586","15"
"18","12","Bandslam","n/a","$898","-77.0%","2","-3","$449","$119,431","4"
"19","11","Ong bak 2","Gulf","$849","-90.8%","1","-11","$849","$272,055","4"
"20","16"," Nocturna","Gulf","$694","-54.7%","4","-5","$174","$26,631","4"
"21","17"," Chi bi (Red Cliff: Part I)","Gulf","$686","-37.8%","1","-","$686","$274,702","7"
"22","18","UIP","$667","-16.5%","1","-","$667","$2,284,135","16",""
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","The Final Destination","WB","$381,238","-","21","-","$18,154","$474,890","1","Unknown"
"2","N","Dance Flick","UIP","$108,282","-","20","-","$5,414","$132,638","1","USA"
"3","1","Inglourious Basterds","UIP","$105,119","-61.3%","20","-1","$5,256","$475,014","2","Unknown"
"4","N","Halloween II (2009)","Italian","$96,793","-","21","-","$4,609","$125,140","1","Unknown"
"5","3","The Ugly Truth","Sony","$90,394","-56.4%","12","-7","$7,533","$368,117","2","Unknown"
"6","2"," Omar Wa Salma 2","Gulf","$85,455","-62.2%","19","-2","$4,498","$876,828","3","Unknown"
"7","N","Aliens in the Attic","Fox","$69,591","-","19","-","$3,663","$76,906","1","Unknown"
"8","4"," Cloudy with a Chance of Meatballs","Sony","$45,496","-54.5%","9","-9","$5,055","$441,929","3","Unknown"
"9","5","District 9","Gulf","$24,937","-72.5%","14","-7","$1,781","$411,753","3","Unknown"
"10","N","The Soloist","UIP","$22,853","-","10","-","$2,285","$30,327","1","France, UK, USA"
"11","6","Ong bak 2","Gulf","$9,232","-86.8%","12","-10","$769","$271,075","3","Thailand"
"12","7","Bandslam","n/a","$3,896","-88.7%","5","-14","$779","$118,443","3","Unknown"
"13","12","Ice Age: Dawn of the Dinosaurs","Fox","$3,565","-33.9%","1","-","$3,565","$1,472,291","14","Unknown"
"14","11","G.I. Joe","UIP","$3,311","-57.6%","2","-2","$1,656","$1,349,170","9","Unknown"
"15","13","Harry Potter and the Half Blood Prince","WB","$2,913","-45.4%","1","-","$2,913","$1,487,093","12","Unknown"
"16","10"," Nocturna","Gulf","$1,531","-84.8%","9","-7","$170","$25,855","3","Spain"
"17","15"," Chi bi (Red Cliff: Part I)","Gulf","$1,103","-75.0%","1","-2","$1,103","$273,885","6","China"
"18","17","UIP","$799","-42.0%","1","-1","$799","$2,283,346","15","USA",""
"19","25","My Best Friend's Girl","Gulf","$596","+16.4%","1","-","$596","$129,740","9","USA"
"20","8"," New Town Killers","n/a","$466","-98.3%","1","-7","$466","$36,574","2","Unknown"
